<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="08:11:41.0921146" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[This is an app model application, the instance path strings are not a direct match; will parse out properties to compare each individually... 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:41.0921146" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[The application instance paths are not for the same application. Revision: 9, 46 MachineTarget: True,True Id: .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_b5114422-a6fa-4a24-952f-cab0dbbbb88b, .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_dd99167d-5119-4941-9cc7-29858370f3eb 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:41.0921146" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[This is an app model application, the instance path strings are not a direct match; will parse out properties to compare each individually... 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:41.0921146" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[The application instance paths are not for the same application. Revision: 2, 46 MachineTarget: True,True Id: .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_ce68d083-3b2f-4fb8-9fee-c2bb1fd57667, .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_dd99167d-5119-4941-9cc7-29858370f3eb 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:41.0921146" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[There still is at least one mandatory software update CCM_SoftwareUpdate.UpdateID="Site_6A346064-BA31-4989-8165-36BB08CF245D/SUM_c69d93eb-f442-4c35-bb7d-d2dc3060299c" 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at NewRequiredAppExists)]LOG]!><time="08:11:41.0921146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing menu item of type ViewRequiredAppUpdate from current visible notification object 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at RemoveMenuItemFromCurrentVisbileObject)]LOG]!><time="08:11:41.0921146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Getting the visible menu items for notification of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.0921146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Found new required application Cumulative Security Update for Internet Explorer 11 for Windows 7 for x64-based Systems (KB4339093) 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.0921146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[The ViewRequiredSoftware menu was already present in the notification menu item list, making it visible. 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.0921146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Making menu item of type ViewRequiredSoftware visible. 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at MakeMenuItemVisible)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing menu item of type OpenSoftwareCenter from menu item list 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at MakeMenuItemsInvisibleInMenuItemsList)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Getting the visible menu items for notification of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Found new required application Cumulative Security Update for Internet Explorer 11 for Windows 7 for x64-based Systems (KB4339093) 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[The ViewRequiredSoftware menu was already present in the notification menu item list, making it visible. 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Making menu item of type ViewRequiredSoftware visible. 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at MakeMenuItemVisible)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing menu item of type OpenSoftwareCenter from menu item list 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at MakeMenuItemsInvisibleInMenuItemsList)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing menu item of type ViewRequiredAppUpdate from menu item list 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at MakeMenuItemsInvisibleInMenuItemsList)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[There are no pending approved applications, removing the View Approved Software menu item 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at RemoveItemFromAvailableNotificationList)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing icon of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectApprovedApp, menu item of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectApprovedApp 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at RemoveIconAndMenu)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing menu item of type ViewApprovedApplicationRequest from current visible notification object 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at RemoveMenuItemFromCurrentVisbileObject)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Getting the visible menu items for notification of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Found new required application Cumulative Security Update for Internet Explorer 11 for Windows 7 for x64-based Systems (KB4339093) 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[The ViewRequiredSoftware menu was already present in the notification menu item list, making it visible. 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Making menu item of type ViewRequiredSoftware visible. 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at MakeMenuItemVisible)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing menu item of type OpenSoftwareCenter from menu item list 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at MakeMenuItemsInvisibleInMenuItemsList)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Getting the visible menu items for notification of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Found new required application Cumulative Security Update for Internet Explorer 11 for Windows 7 for x64-based Systems (KB4339093) 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[The ViewRequiredSoftware menu was already present in the notification menu item list, making it visible. 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Making menu item of type ViewRequiredSoftware visible. 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at MakeMenuItemVisible)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing menu item of type OpenSoftwareCenter from menu item list 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at MakeMenuItemsInvisibleInMenuItemsList)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing menu item of type ViewApprovedApplicationRequest from menu item list 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at MakeMenuItemsInvisibleInMenuItemsList)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing monitored notification objects of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectApprovedApp 	 (Microsoft.SoftwareCenter.Client.Notification.MonitoredNotifyObjectsCollection at RemoveObject)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[There are 2 remaining monitored objects, making the the one with the highest priority visible. 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at MakeHighestPriorityNotificationVisible)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[The object with the highest priority is of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp for application CCM_SoftwareUpdate.UpdateID="Site_6A346064-BA31-4989-8165-36BB08CF245D/SUM_c69d93eb-f442-4c35-bb7d-d2dc3060299c" 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at MakeHighestPriorityNotificationVisible)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[There are no pending high impact task sequences, removing the View High Impact Task Sequence menu item 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at RemoveItemFromAvailableNotificationList)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing icon of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredHighImpactApp, menu item of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredHighImpactApp 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at RemoveIconAndMenu)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing menu item of type ViewRequiredHighImpactSoftware from current visible notification object 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at RemoveMenuItemFromCurrentVisbileObject)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Getting the visible menu items for notification of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Found new required application Cumulative Security Update for Internet Explorer 11 for Windows 7 for x64-based Systems (KB4339093) 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[The ViewRequiredSoftware menu was already present in the notification menu item list, making it visible. 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Making menu item of type ViewRequiredSoftware visible. 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at MakeMenuItemVisible)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing menu item of type OpenSoftwareCenter from menu item list 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at MakeMenuItemsInvisibleInMenuItemsList)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Getting the visible menu items for notification of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Found new required application Cumulative Security Update for Internet Explorer 11 for Windows 7 for x64-based Systems (KB4339093) 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[The ViewRequiredSoftware menu was already present in the notification menu item list, making it visible. 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Making menu item of type ViewRequiredSoftware visible. 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at MakeMenuItemVisible)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing menu item of type OpenSoftwareCenter from menu item list 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at MakeMenuItemsInvisibleInMenuItemsList)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing menu item of type ViewRequiredHighImpactSoftware from menu item list 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at MakeMenuItemsInvisibleInMenuItemsList)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing monitored notification objects of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredHighImpactApp 	 (Microsoft.SoftwareCenter.Client.Notification.MonitoredNotifyObjectsCollection at RemoveObject)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[There are 2 remaining monitored objects, making the the one with the highest priority visible. 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at MakeHighestPriorityNotificationVisible)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[The object with the highest priority is of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp for application CCM_SoftwareUpdate.UpdateID="Site_6A346064-BA31-4989-8165-36BB08CF245D/SUM_c69d93eb-f442-4c35-bb7d-d2dc3060299c" 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at MakeHighestPriorityNotificationVisible)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[There still is at least one available application remaining CCM_SoftwareUpdate.UpdateID="Site_6A346064-BA31-4989-8165-36BB08CF245D/SUM_c69d93eb-f442-4c35-bb7d-d2dc3060299c" 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at RemoveItemFromAvailableNotificationList)]LOG]!><time="08:11:41.1021146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[The application DLM_Mandatory_Applications_1.0_Eng is completed, available, or pending restart, removing corresponding Installing notifications 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at HandleWmiNotificationEvent)]LOG]!><time="08:11:41.1121146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing monitored notification object Microsoft.SoftwareCenter.Client.Notification.NotifyObjectInstalling for app DLM_Mandatory_Applications_1.0_Eng 	 (Microsoft.SoftwareCenter.Client.Notification.MonitoredNotifyObjectsCollection at RemoveObject)]LOG]!><time="08:11:41.1121146" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[There are 2 remaining monitored objects, making the the one with the highest priority visible. 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at MakeHighestPriorityNotificationVisible)]LOG]!><time="08:11:41.1121146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[The object with the highest priority is of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp for application CCM_SoftwareUpdate.UpdateID="Site_6A346064-BA31-4989-8165-36BB08CF245D/SUM_c69d93eb-f442-4c35-bb7d-d2dc3060299c" 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at MakeHighestPriorityNotificationVisible)]LOG]!><time="08:11:41.1121146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Checking whether this is an application that had notifications enabled, but is now visible just in Software Center. 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at CheckApplicationNotifyUserChange)]LOG]!><time="08:11:41.1121146" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[This software should not display a user notification balloon, removing it from the available notification list. 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at CheckApplicationNotifyUserChange)]LOG]!><time="08:11:41.1121146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Updating the available notification objects list to remove this application. 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at RemoveItemFromAvailableNotificationList)]LOG]!><time="08:11:41.1121146" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[This is an app model application, the instance path strings are not a direct match; will parse out properties to compare each individually... 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:41.1121146" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
